Original Sentence,Tokenized Sentence,POS Tags
"थोडक्यात, दक्षिण आशियात भारताला एकटे पाडण्याचा पाकचीनचा डाव कधीच पूर्णत: यशस्वी होणार नाही; पण, आज भूतान वगळता इतर एकही शेजारी देश हमखास भारताच्या बाजूने उभा राहण्याची हमी का देता येत नाही, रेमोरा मासे शार्कलाच चावे का घेतात, याचा विचार भारतीय नेतृत्वाला अंतर्मुख होऊन करावाच लागेल!","थोडक्यात , दक्षिण आशियात भारताला एकटे पाडण्याचा पाकचीनचा  डाव कधीच पूर्णत: यशस्वी होणार नाही ; पण , आज भूतान वगळता इतर एकही शेजारी देश हमखास भारताच्या बाजूने उभा राहण्याची हमी का देता येत नाही , रेमोरा मासे शार्कलाच चावे का घेतात , याचा विचार भारतीय नेतृत्वाला अंतर्मुख होऊन करावाच लागेल !",ADV PUNCT ADJ NN NN ADJ ADJ NN NN ADV ADV ADJ AUX AUX PUNCT CONJ PUNCT ADV NN ADP ADJ DET NN NN ADV ADP ADV ADJ NN NN ADV VB AUX AUX PUNCT NN NN NN NN ADV VB PUNCT PRON NN ADJ NN ADJ ADV VB AUX PUNCT
"डिजिटल अरेस्टच्या गुन्ह्यात देशात पहिल्यांदाच शिक्षा; पश्चिम बंगालमध्ये ९ जणांना जन्मठेप, उत्तर प्रदेशात ७ वर्षांची शिक्षा","डिजिटल अरेस्टच्या गुन्ह्यात देशात पहिल्यांदाच शिक्षा ; पश्चिम बंगालमध्ये ९ जणांना जन्मठेप , उत्तर प्रदेशात ७ वर्षांची शिक्षा",ADJ NN NN NN ADV NN PUNCT NN NN NUM NN NN PUNCT NN NN NUM NN NN
कोलकाता लखनौ :डिजिटलअटकच्यागुन्ह्यांमध्ये देशातील पहिल्यांदाच शिक्षा झाल्या आहेत.,कोलकाता लखनौ : डिजिटल अटकच्या गुन्ह्यांमध्ये देशातील पहिल्यांदाच शिक्षा झाल्या आहेत .,NNP NNP PUNCT JJ NN NN JJ RB NN VBI AUX PUNCT
उत्तर प्रदेश आणि पश्चिम बंगालमध्ये या शिक्षा झाल्या.,उत्तर प्रदेश आणि पश्चिम बंगालमध्ये या शिक्षा झाल्या .,NN NN CC JJ NN DEM NN VB PUNCT
पश्चिम बंगालमध्ये ९ जणांना जन्मठेपपार्था कुमार मुखर्जी या निवृत्त कृषी शास्त्रज्ञाला ऑक्टोबर २०२४ मध्ये नऊ आरोपींनी व्हॉट्सॲपने संपर्क साधला.,पश्चिम बंगालमध्ये ९ जणांना जन्मठेपपार्था कुमार मुखर्जी या निवृत्त कृषी शास्त्रज्ञाला ऑक्टोबर २०२४ मध्ये नऊ आरोपींनी व्हॉट्सॲपने संपर्क साधला .,JJ NN NN NN NN NN NN DEM JJ JJ NN NN NN POST NUM NN NN NN VB PUNCT
"मुंबई पोलिस, सीबीआय अधिकारी असल्याचे सांगितले.","मुंबई पोलिस , सीबीआय अधिकारी असल्याचे सांगितले .",NNP NN PUNCT NNP NN VM VM PUNCT
"त्यांनी मुखर्जी यांच्यावर आर्थिक गुन्ह्यांचे, मनी लाँड्रिंगचे आरोप केले आणि डिजिटलअटककरुन१ कोटी रुपये ट्रान्सफर करून घेतले.","त्यांनी मुखर्जी यांच्यावर आर्थिक गुन्ह्यांचे , मनी लाँड्रिंगचे आरोप केले आणि डिजिटलअटककरुन १ कोटी रुपये ट्रान्सफर करून घेतले .",PRP NNP POST ADJ NN PUNCT NN NN NN VBD CC VB NUM NN NN VB VBN VBD PUNCT
प. बंगाल पोलिसांनी नोव्हेंबर २०२४ मध्ये मोहम्मद इम्तियाज अन्सारीसह ९ जणांना अटक केली.,प. बंगाल पोलिसांनी नोव्हेंबर २०२४ मध्ये मोहम्मद इम्तियाज अन्सारीसह ९ जणांना अटक केली .,NN NN NN NN CD POST NNP NNP NN CD NN NN VM PUNCT
या टोळीने देशात १०८ नागरिकांची १०० कोटींची फसवणूक केली.,या टोळीने देशात १०८ नागरिकांची १०० कोटींची फसवणूक केली .,DEM NN NN NUM NN NUM NN NN VB PUNCT
रणाघाट सायबर ठाण्याने यात २६०० पानी आरोपपत्र सादर केले.,रणाघाट सायबर ठाण्याने यात २६०० पानी आरोपपत्र सादर केले .,NN NN NN PRP NUM JJ NN VB VB PUNCT
